name_of_state_or_ut,type,state_ut_code,constituency_code,constituency_name,candidate_name,candidate_party,total_votes
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,BISHNU PADA RAY,Bharatiya Janata Party,102436
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,KULDEEP RAI SHARMA,Indian National Congress,78040
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,MANOJ PAUL,Andaman Nicobar Democratic Congress,8254
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,D AYYAPPAN,Communist Party of India  (Marxist),6017
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,V.K. ABDUL AZIZ,Independent,2203
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,914
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,719
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,RINKU MALA MONDAL,Independent,542
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,K VENKAT RAM BABU,Independent,507
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,USHA KUMARI,Independent,380
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),351
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,ANAND RAMNATH ARLEKAR,Independent,342
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,NOTA,None of the Above,1809
Andhra Pradesh,State,S01,7,Amalapuram(SC),G M HARISH (BALAYOGI),Telugu Desam,796981
Andhra Pradesh,State,S01,7,Amalapuram(SC),RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785
Andhra Pradesh,State,S01,7,Amalapuram(SC),GOUTHAM JANGA,Indian National Congress,15082
Andhra Pradesh,State,S01,7,Amalapuram(SC),DORABABU YALLA,Bahujan Samaj Party,5388
Andhra Pradesh,State,S01,7,Amalapuram(SC),KATRU NAGA BABU,Telugu Nava Garjana Party,3741
Andhra Pradesh,State,S01,7,Amalapuram(SC),VADDI LALITH KUMAR,Independent,2977
Andhra Pradesh,State,S01,7,Amalapuram(SC),MAKEY DAVY PRASAD,Independent,2111
Andhra Pradesh,State,S01,7,Amalapuram(SC),GUDE VENKATESWARULU,Independent,1745
Andhra Pradesh,State,S01,7,Amalapuram(SC),RAMESH JILLELLA,Jatiya Jana Sena Party,872
Andhra Pradesh,State,S01,7,Amalapuram(SC),YALANGI RAMESH,Jaibhim Rao Bharat Party,740
Andhra Pradesh,State,S01,7,Amalapuram(SC),MATHA KRISHNA,Pyramid Party of India,719
Andhra Pradesh,State,S01,7,Amalapuram(SC),GIDDI JNANA PRAKASA RAO,Republican Party of India,726
Andhra Pradesh,State,S01,7,Amalapuram(SC),YADLA RAJESH,Liberation Congress Party,635
Andhra Pradesh,State,S01,7,Amalapuram(SC),KAPA KALYAN,Republican Party of India (A),581
Andhra Pradesh,State,S01,7,Amalapuram(SC),PATHURI RAMESH,Peoples Party of India (Democratic),505
Andhra Pradesh,State,S01,7,Amalapuram(SC),NOTA,None of the Above,13518
Andhra Pradesh,State,S01,5,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,762069
Andhra Pradesh,State,S01,5,Anakapalle,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539
Andhra Pradesh,State,S01,5,Anakapalle,VEGI VENKATESH,Indian National Congress,25651
Andhra Pradesh,State,S01,5,Anakapalle,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19157
Andhra Pradesh,State,S01,5,Anakapalle,VANKAYALA RAMACHANDRA RAO,Independent,4002
Andhra Pradesh,State,S01,5,Anakapalle,LOVARAJU SIDDHA,Independent,3852
Andhra Pradesh,State,S01,5,Anakapalle,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3557
Andhra Pradesh,State,S01,5,Anakapalle,GARA SURYA RAO,Independent,3124
Andhra Pradesh,State,S01,5,Anakapalle,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2619
Andhra Pradesh,State,S01,5,Anakapalle,NAGESWARA RAO PETLA,Independent,2184
Andhra Pradesh,State,S01,5,Anakapalle,ADARI SARAT CHANDRA,Jai Bharat National Party,1913
Andhra Pradesh,State,S01,5,Anakapalle,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1591
Andhra Pradesh,State,S01,5,Anakapalle,DR. THUMMAPALA HARI  SHANKAR,Independent,1576
Andhra Pradesh,State,S01,5,Anakapalle,JUNNURI J SRINIVAS,Independent,1201
Andhra Pradesh,State,S01,5,Anakapalle,APPALANAIDU TUMMAGUNTA,Independent,1062
Andhra Pradesh,State,S01,5,Anakapalle,NOTA,None of the Above,26235
Andhra Pradesh,State,S01,19,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245
Andhra Pradesh,State,S01,19,Ananthapur,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,579690
Andhra Pradesh,State,S01,19,Ananthapur,MALLIKARJUNA VAJJALA,Indian National Congress,43217
Andhra Pradesh,State,S01,19,Ananthapur,G.V.RAMANA REDDY,Independent,6439
Andhra Pradesh,State,S01,19,Ananthapur,BANASI NARAYANAPPA,Bahujan Samaj Party,6396
Andhra Pradesh,State,S01,19,Ananthapur,V.MURALI PRASAD REDDY,Independent,5778
Andhra Pradesh,State,S01,19,Ananthapur,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4989
Andhra Pradesh,State,S01,19,Ananthapur,M.SURENDRA,Pyramid Party of India,2935
Andhra Pradesh,State,S01,19,Ananthapur,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2540
Andhra Pradesh,State,S01,19,Ananthapur,P.CHOWDESWARI,Independent,1518
Andhra Pradesh,State,S01,19,Ananthapur,VADLA KESAVAIAH,Independent,1494
Andhra Pradesh,State,S01,19,Ananthapur,B.RAGHAVENDRA PRASAD,Independent,1318
Andhra Pradesh,State,S01,19,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,Independent,1091
Andhra Pradesh,State,S01,19,Ananthapur,LOKANATH GOWD SURAGOWINI,Independent,1091
Andhra Pradesh,State,S01,19,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,Independent,904
Andhra Pradesh,State,S01,19,Ananthapur,SHAIK.NIZAM,Samajwadi Party,753
Andhra Pradesh,State,S01,19,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,745
Andhra Pradesh,State,S01,19,Ananthapur,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,578
Andhra Pradesh,State,S01,19,Ananthapur,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),570
Andhra Pradesh,State,S01,19,Ananthapur,SRINIVASA RAJU.O,Bhartiya Panchyat Party,494
Andhra Pradesh,State,S01,19,Ananthapur,DURGA PRASAD D BYATARAYANAJI,Challengers Party,444
Andhra Pradesh,State,S01,19,Ananthapur,NOTA,None of the Above,9199
Andhra Pradesh,State,S01,1,Araku(ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005
Andhra Pradesh,State,S01,1,Araku(ST),KOTHAPALLI GEETHA,Bharatiya Janata Party,426425
Andhra Pradesh,State,S01,1,Araku(ST),APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),123129
Andhra Pradesh,State,S01,1,Araku(ST),AVASHYA LAHARI . VARAM,Bahujan Samaj Party,25750
Andhra Pradesh,State,S01,1,Araku(ST),SAMAREDDY BALAKRISHNA,Independent,9535
Andhra Pradesh,State,S01,1,Araku(ST),NIMMAKA JAYARAJU,Independent,9462
Andhra Pradesh,State,S01,1,Araku(ST),ATHIDHI,Independent,8136
Andhra Pradesh,State,S01,1,Araku(ST),CHANTI BADNAINA,Jai Bharat National Party,7252
Andhra Pradesh,State,S01,1,Araku(ST),MOTTADAM . RAJABABU,Bharat Adivasi Party,6766
Andhra Pradesh,State,S01,1,Araku(ST),RANJITH KUMAR PALAKA,Independent,6047
Andhra Pradesh,State,S01,1,Araku(ST),RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4959
Andhra Pradesh,State,S01,1,Araku(ST),MANDALA GIRIDHARA RAO,Independent,4967
Andhra Pradesh,State,S01,1,Araku(ST),VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4542
Andhra Pradesh,State,S01,1,Araku(ST),NOTA,None of the Above,50470
Andhra Pradesh,State,S01,15,Bapatla(SC),KRISHNA PRASAD TENNETI,Telugu Desam,717493
Andhra Pradesh,State,S01,15,Bapatla(SC),NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,509462
Andhra Pradesh,State,S01,15,Bapatla(SC),J.D. SEELAM,Indian National Congress,43259
Andhra Pradesh,State,S01,15,Bapatla(SC),DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6857
Andhra Pradesh,State,S01,15,Bapatla(SC),NALAMALA TIRUPATI RAO,Navataram Party,2964
Andhra Pradesh,State,S01,15,Bapatla(SC),BUSSA. NAGARAJU,Independent,1318
Andhra Pradesh,State,S01,15,Bapatla(SC),GADDE. VIJAYA LAKSHMI,Independent,1051
Andhra Pradesh,State,S01,15,Bapatla(SC),KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,897
Andhra Pradesh,State,S01,15,Bapatla(SC),KONDRU KIRAN KUMAR,Independent,797
Andhra Pradesh,State,S01,15,Bapatla(SC),KATTA ANAND BABU,Independent,729
Andhra Pradesh,State,S01,15,Bapatla(SC),MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,673
Andhra Pradesh,State,S01,15,Bapatla(SC),KATTA HEMANAND,Independent,549
Andhra Pradesh,State,S01,15,Bapatla(SC),PARRE. KOTAIAH,Jaibhim Rao Bharat Party,412
Andhra Pradesh,State,S01,15,Bapatla(SC),PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,306
Andhra Pradesh,State,S01,15,Bapatla(SC),CHINNAM MURALIDHAR,All Peoples Party,255
Andhra Pradesh,State,S01,15,Bapatla(SC),NOTA,None of the Above,13723
Andhra Pradesh,State,S01,25,Chittoor(SC),DAGGUMALLA PRASADA RAO,Telugu Desam,778071
Andhra Pradesh,State,S01,25,Chittoor(SC),REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,557592
Andhra Pradesh,State,S01,25,Chittoor(SC),MOTUKUR JAGAPATHI,Indian National Congress,30150
Andhra Pradesh,State,S01,25,Chittoor(SC),THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13511
Andhra Pradesh,State,S01,25,Chittoor(SC),YUGANDAR . KONDA,Independent,6973
Andhra Pradesh,State,S01,25,Chittoor(SC),K.MUNI KRISHNA,Independent,3956
Andhra Pradesh,State,S01,25,Chittoor(SC),P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2833
Andhra Pradesh,State,S01,25,Chittoor(SC),PETA.MOHAN .,Independent,2366
Andhra Pradesh,State,S01,25,Chittoor(SC),C.SUDHAKAR,Independent,1935
Andhra Pradesh,State,S01,25,Chittoor(SC),N.CHANDRABABU,Independent,1885
Andhra Pradesh,State,S01,25,Chittoor(SC),MADASI SUDHARSHAN,Independent,1578
Andhra Pradesh,State,S01,25,Chittoor(SC),D.MAHESH,Independent,1119
Andhra Pradesh,State,S01,25,Chittoor(SC),P.MADHU,Independent,906
Andhra Pradesh,State,S01,25,Chittoor(SC),N.BHUPATHI,Independent,894
Andhra Pradesh,State,S01,25,Chittoor(SC),A. PURNA CHANDRA,Independent,857
Andhra Pradesh,State,S01,25,Chittoor(SC),PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,676
Andhra Pradesh,State,S01,25,Chittoor(SC),N.GANGAIAH .,Independent,552
Andhra Pradesh,State,S01,25,Chittoor(SC),T NARESH,Independent,534
Andhra Pradesh,State,S01,25,Chittoor(SC),BANDAPALLI RAMESH,Independent,493
Andhra Pradesh,State,S01,25,Chittoor(SC),NOTA,None of the Above,11976
Andhra Pradesh,State,S01,10,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,746351
Andhra Pradesh,State,S01,10,Eluru,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,564494
Andhra Pradesh,State,S01,10,Eluru,KAVURI LAVANYA,Indian National Congress,20826
Andhra Pradesh,State,S01,10,Eluru,AJAY BABU BODA,Navarang Congress Party,12210
Andhra Pradesh,State,S01,10,Eluru,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6732
Andhra Pradesh,State,S01,10,Eluru,BOKINALA KOTESWARA RAO,Independent,2263
Andhra Pradesh,State,S01,10,Eluru,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1526
Andhra Pradesh,State,S01,10,Eluru,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1180
Andhra Pradesh,State,S01,10,Eluru,AGASTEEN KOMMINA,Independent,1004
Andhra Pradesh,State,S01,10,Eluru,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,786
Andhra Pradesh,State,S01,10,Eluru,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,732
Andhra Pradesh,State,S01,10,Eluru,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,715
Andhra Pradesh,State,S01,10,Eluru,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,715
Andhra Pradesh,State,S01,10,Eluru,NOTA,None of the Above,22515
Andhra Pradesh,State,S01,13,Guntur,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948
Andhra Pradesh,State,S01,13,Guntur,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,520253
Andhra Pradesh,State,S01,13,Guntur,JANGALA AJAY KUMAR,Communist Party of India,8637
Andhra Pradesh,State,S01,13,Guntur,SIVAREDDY. ENDREDDY,Navataram Party,5629
Andhra Pradesh,State,S01,13,Guntur,TENALI PRAKASH,Bahujan Samaj Party,4272
Andhra Pradesh,State,S01,13,Guntur,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1964
Andhra Pradesh,State,S01,13,Guntur,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1753
Andhra Pradesh,State,S01,13,Guntur,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1275
Andhra Pradesh,State,S01,13,Guntur,SYED. SAIDA,Navarang Congress Party,1222
Andhra Pradesh,State,S01,13,Guntur,AMBATI CHALAMAIAH,Pyramid Party of India,1031
Andhra Pradesh,State,S01,13,Guntur,PILLI BABU RAO,Independent,692
Andhra Pradesh,State,S01,13,Guntur,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,542
Andhra Pradesh,State,S01,13,Guntur,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461
Andhra Pradesh,State,S01,13,Guntur,EMANI. CHANDRASEKHAR RAO,Navodayam Party,414
Andhra Pradesh,State,S01,13,Guntur,SHAIK. KHAJAVALI,Independent,391
Andhra Pradesh,State,S01,13,Guntur,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,378
Andhra Pradesh,State,S01,13,Guntur,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,375
Andhra Pradesh,State,S01,13,Guntur,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,358
Andhra Pradesh,State,S01,13,Guntur,GAYATRI AUDHIPUDI,Independent,357
Andhra Pradesh,State,S01,13,Guntur,ASHOK ANAND GALI,Independent,335
Andhra Pradesh,State,S01,13,Guntur,SHAIK ASLAM AKTHER,Independent,335
Andhra Pradesh,State,S01,13,Guntur,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,332
Andhra Pradesh,State,S01,13,Guntur,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),312
Andhra Pradesh,State,S01,13,Guntur,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),310
Andhra Pradesh,State,S01,13,Guntur,BURAGA RATNAM,Loktantrik Janta Dal,316
Andhra Pradesh,State,S01,13,Guntur,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268
Andhra Pradesh,State,S01,13,Guntur,SIVA PARVATHI,Independent,266
Andhra Pradesh,State,S01,13,Guntur,BOMMASANI MUTYALA RAO,All Peoples Party,207
Andhra Pradesh,State,S01,13,Guntur,SRIKRISHNA AKKISETTI,Independent,179
Andhra Pradesh,State,S01,13,Guntur,MADAVARAPU NAGA RAJU,Independent,172
Andhra Pradesh,State,S01,13,Guntur,NOTA,None of the Above,7387
Andhra Pradesh,State,S01,20,Hindupur,B K PARTHASARATHI,Telugu Desam,725534
Andhra Pradesh,State,S01,20,Hindupur,J SHANTHA,Yuvajana Sramika Rythu Congress Party,593107
Andhra Pradesh,State,S01,20,Hindupur,B A SAMAD SHAHEEN,Indian National Congress,55059
Andhra Pradesh,State,S01,20,Hindupur,BHAGYA R S,Bahujan Samaj Party,8015
Andhra Pradesh,State,S01,20,Hindupur,PRATHAP REDDY GORLA,Independent,5444
Andhra Pradesh,State,S01,20,Hindupur,H D HANUMANTHE GOWD,Independent,2278
Andhra Pradesh,State,S01,20,Hindupur,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2051
Andhra Pradesh,State,S01,20,Hindupur,S N SURESH,Independent,1631
Andhra Pradesh,State,S01,20,Hindupur,DASAGANIPALLI KULLAYAPPA,Independent,1328
Andhra Pradesh,State,S01,20,Hindupur,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1292
Andhra Pradesh,State,S01,20,Hindupur,T SUDHAKAR REDDY,Independent,1237
Andhra Pradesh,State,S01,20,Hindupur,S RAGHUNATHA REDDY,Independent,710
Andhra Pradesh,State,S01,20,Hindupur,BUDILI DHANUNJAYA,National Nava Kranthi Party,682
Andhra Pradesh,State,S01,20,Hindupur,NOTA,None of the Above,17971
Andhra Pradesh,State,S01,21,Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143
Andhra Pradesh,State,S01,21,Kadapa,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,542448
Andhra Pradesh,State,S01,21,Kadapa,Y.S. SHARMILA REDDY,Indian National Congress,141039
Andhra Pradesh,State,S01,21,Kadapa,PANDITI. GURAPPA.,Bahujan Samaj Party,3810
Andhra Pradesh,State,S01,21,Kadapa,VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular),3570
Andhra Pradesh,State,S01,21,Kadapa,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2430
Andhra Pradesh,State,S01,21,Kadapa,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2333
Andhra Pradesh,State,S01,21,Kadapa,L. KHAJA HUSSAIN,Independent,1088
Andhra Pradesh,State,S01,21,Kadapa,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,755
Andhra Pradesh,State,S01,21,Kadapa,KAKARLA SHANMUKHA REDDY,Independent,647
Andhra Pradesh,State,S01,21,Kadapa,PALLE RAMESH,Jaibhim Rao Bharat Party,624
Andhra Pradesh,State,S01,21,Kadapa,CHAN BASHA. S,Anna YSR Congress Party,439
Andhra Pradesh,State,S01,21,Kadapa,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,434
Andhra Pradesh,State,S01,21,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,369
Andhra Pradesh,State,S01,21,Kadapa,NOTA,None of the Above,16846
Andhra Pradesh,State,S01,6,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,729699
Andhra Pradesh,State,S01,6,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,500208
Andhra Pradesh,State,S01,6,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,21109
Andhra Pradesh,State,S01,6,Kakinada,UDAY,Navarang Congress Party,15703
Andhra Pradesh,State,S01,6,Kakinada,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11979
Andhra Pradesh,State,S01,6,Kakinada,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9854
Andhra Pradesh,State,S01,6,Kakinada,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6559
Andhra Pradesh,State,S01,6,Kakinada,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3927
Andhra Pradesh,State,S01,6,Kakinada,BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation),2823
Andhra Pradesh,State,S01,6,Kakinada,SUDHA VEERA GANESH,Independent,2647
Andhra Pradesh,State,S01,6,Kakinada,BHAVANI SANKAR PRASAD MERLA,Independent,1969
Andhra Pradesh,State,S01,6,Kakinada,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1780
Andhra Pradesh,State,S01,6,Kakinada,BODDETI APPARAO,Independent,1687
Andhra Pradesh,State,S01,6,Kakinada,NEELAKANTAM DONAM,Independent,1412
Andhra Pradesh,State,S01,6,Kakinada,PASUPULETI S.V.S.BHUSHANAM,Independent,1227
Andhra Pradesh,State,S01,6,Kakinada,NOTA,None of the Above,17220
Andhra Pradesh,State,S01,18,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914
Andhra Pradesh,State,S01,18,Kurnoolu,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,547616
Andhra Pradesh,State,S01,18,Kurnoolu,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,70373
Andhra Pradesh,State,S01,18,Kurnoolu,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8589
Andhra Pradesh,State,S01,18,Kurnoolu,BOYA SURESH,Independent,5900
Andhra Pradesh,State,S01,18,Kurnoolu,T. BEECHUPALLI,Independent,5127
Andhra Pradesh,State,S01,18,Kurnoolu,VIJAYA BHASKAR .REDDYPOGU,Independent,3508
Andhra Pradesh,State,S01,18,Kurnoolu,PAGADALA KODANDA,Independent,3076
Andhra Pradesh,State,S01,18,Kurnoolu,DEVARAPOGU MADDILETY,Independent,2582
Andhra Pradesh,State,S01,18,Kurnoolu,PRAKASH REDDY RALAMPADU,Independent,2225
Andhra Pradesh,State,S01,18,Kurnoolu,JAHANGIR AHMED,Social Democratic Party Of India,2074
Andhra Pradesh,State,S01,18,Kurnoolu,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1856
Andhra Pradesh,State,S01,18,Kurnoolu,ABDUL SATTAR  A.S.R,Anna YSR Congress Party,1601
Andhra Pradesh,State,S01,18,Kurnoolu,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1390
Andhra Pradesh,State,S01,18,Kurnoolu,URUKUNDU VADDE,Independent,1295
Andhra Pradesh,State,S01,18,Kurnoolu,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1164
Andhra Pradesh,State,S01,18,Kurnoolu,SUNKARA SREEDHAR,Jai Bharat National Party,1163
Andhra Pradesh,State,S01,18,Kurnoolu,TARIGOPULA RAJABABU,All Peoples Party,1033
Andhra Pradesh,State,S01,18,Kurnoolu,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,783
Andhra Pradesh,State,S01,18,Kurnoolu,NOTA,None of the Above,10511
Andhra Pradesh,State,S01,11,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,724439
Andhra Pradesh,State,S01,11,Machilipatnam,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,501260
Andhra Pradesh,State,S01,11,Machilipatnam,GOLLU KRISHNA,Indian National Congress,31825
Andhra Pradesh,State,S01,11,Machilipatnam,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,11141
Andhra Pradesh,State,S01,11,Machilipatnam,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,10028
Andhra Pradesh,State,S01,11,Machilipatnam,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5254
Andhra Pradesh,State,S01,11,Machilipatnam,VALLABHANENI NAGA PAVAN KUMAR,Independent,5220
Andhra Pradesh,State,S01,11,Machilipatnam,MARADANI K R SWAMY,Jai Maha Bharath Party,2214
Andhra Pradesh,State,S01,11,Machilipatnam,GANDHI  DHANEKULA,Independent,1991
Andhra Pradesh,State,S01,11,Machilipatnam,PAMULA BALA SOWRYAMMA,Independent,1582
Andhra Pradesh,State,S01,11,Machilipatnam,ANUSHA YERUVA,Independent,1235
Andhra Pradesh,State,S01,11,Machilipatnam,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1111
Andhra Pradesh,State,S01,11,Machilipatnam,JOGI VEERANJANEYULU,Independent,1022
Andhra Pradesh,State,S01,11,Machilipatnam,DAMODARA RAO GUDAVALLI,Independent,930
Andhra Pradesh,State,S01,11,Machilipatnam,APPARAO ENNETI,Independent,626
Andhra Pradesh,State,S01,11,Machilipatnam,NOTA,None of the Above,12126
Andhra Pradesh,State,S01,17,Nandyal,DR BYREDDY SHABARI,Telugu Desam,701131
Andhra Pradesh,State,S01,17,Nandyal,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,589156
Andhra Pradesh,State,S01,17,Nandyal,J LAKSHMI NARASIMHA YADAV,Indian National Congress,56204
Andhra Pradesh,State,S01,17,Nandyal,P GURUVAIAH,Independent,8191
Andhra Pradesh,State,S01,17,Nandyal,A CHINNA MOULALI,Bahujan Samaj Party,7831
Andhra Pradesh,State,S01,17,Nandyal,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6932
Andhra Pradesh,State,S01,17,Nandyal,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633
Andhra Pradesh,State,S01,17,Nandyal,GAGGERA VENKATA RAMANAIAH,Independent,3031
Andhra Pradesh,State,S01,17,Nandyal,DUMAVATH SWAMY NAIK,Independent,2358
Andhra Pradesh,State,S01,17,Nandyal,KUNUKUNTLA RAMUDU,Independent,1413
Andhra Pradesh,State,S01,17,Nandyal,E ANIL KUMAR,Independent,1334
Andhra Pradesh,State,S01,17,Nandyal,C SURENDRA NATHA REDDY,Independent,1268
Andhra Pradesh,State,S01,17,Nandyal,BRAHMANANDA REDDY K,Independent,1272
Andhra Pradesh,State,S01,17,Nandyal,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,791
Andhra Pradesh,State,S01,17,Nandyal,NAGESWARA RAO,Independent,680
Andhra Pradesh,State,S01,17,Nandyal,VIJAYA BHASKAR REDDYPOGU,Independent,641
Andhra Pradesh,State,S01,17,Nandyal,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,642
Andhra Pradesh,State,S01,17,Nandyal,BHUMA VEERA BHADRA REDDY,Navarang Congress Party,646
Andhra Pradesh,State,S01,17,Nandyal,PANDU RANGA YADAV SIDDAPU,Samajwadi Party,605
Andhra Pradesh,State,S01,17,Nandyal,CHANDINI REDDY VAKATI,Liberation Congress Party,556
Andhra Pradesh,State,S01,17,Nandyal,B C RAMANADHA AREDDY,Independent,472
Andhra Pradesh,State,S01,17,Nandyal,GAJULA SHALIMIYA,Anna YSR Congress Party,486
Andhra Pradesh,State,S01,17,Nandyal,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,430
Andhra Pradesh,State,S01,17,Nandyal,CH P MALLESWARUDU,Independent,421
